,coefficient,std_error,t_stat,p_value
Intercept,1.9455773633792626,0.34313769181655934,5.66996109660656,1.4710618919080806e-07
gdp_growth_l1,0.460940782907513,0.09334273072455537,4.938154040807966,3.283358736167974e-06
gdp_growth_l2,0.09758587526211963,0.0840560698764669,1.1609616700559142,0.24850661434173543
export_growth_l1,-0.07380449514599827,0.02520690179606603,-2.9279478986789536,0.004251747564107024
interest_rate_l1,0.0363510956712918,0.06003269981865178,0.6055215870867388,0.546246666618206
inflation_l1,-0.15763601572711955,0.07049096431367402,-2.236258466059045,0.027626210050794783
covid_pulse_2020q2,-8.624782570494073,1.118625913292565,-7.710158032284337,1.1024137165449559e-11
covid_pulse_2020q3,-3.3323661689833557,1.4067381340624208,-2.3688603360456635,0.019824639265123994
