,Model 1,Model 2,Loss,Observations,Mean loss differential (L1-L2),DM statistic,p-value,Winner at 5%
0,ADL(1),AR(2),SE,40,-0.12473105260512855,-0.2642356841178775,0.7929896939709473,No significant difference
1,ADL(1),VAR(2),SE,40,-0.25746069888325646,-0.4630120680159534,0.6459290889630691,No significant difference
2,ADL(1),Combined,SE,40,0.009875957874993091,0.04618675584430358,0.9633970958159876,No significant difference
3,ADL(1),ADL(2),SE,40,-0.43440479019566436,-0.9017652037758294,0.3727172182266343,No significant difference
