Variable,ADF Statistic,p-value,Used Lags,Nobs
gdp_growth,-2.513957820278859,0.1121150669346011,12,92
inflation,-2.738905594617174,0.06754445022700355,9,95
interest_rate,-1.7337151884494204,0.41383042650511936,2,102
export_growth,-3.1740627159158414,0.02153598186331859,12,92
