Model,MAE,MAFE,MSFE,RMSE,RMSFE
Robustness ADL(1) – ToT,1.0854607716948252,1.0854607716948252,4.495880582332748,2.120349165192551,2.120349165192551
Robustness ADL(1) – delta rate,1.1207169826246701,1.1207169826246701,4.587092579252025,2.141749887183848,2.141749887183848
Preferred ADL(1) – exports,1.117803813221458,1.117803813221458,4.7367313037951755,2.176403295300569,2.176403295300569
