Model,AIC,BIC,Adj. R-squared
Preferred ADL(1) – exports,369.6767965636975,382.94659831448513,0.3718549391889433
Robustness ADL(1) – ToT,372.19268589202,385.4624876428076,0.35662228423112474
Robustness ADL(1) – delta rate,371.0208118490686,384.2906135998562,0.36376291189001375
