,coefficient,std_error,t_stat,p_value
Intercept,1.9577329034130764,0.34358604205239224,5.697940730416949,1.275304053497914e-07
gdp_growth_l1,0.5257064239465558,0.07497095431556192,7.012134615944638,3.0334489858061113e-10
export_growth_l1,-0.06706508714968679,0.024572854917014407,-2.7292346524721665,0.007526114759158774
interest_rate_l1,0.04636897937472681,0.05951464839354424,0.7791187653182307,0.43778712366476
inflation_l1,-0.15048676170673705,0.07034597611553592,-2.139237665272826,0.03490071638710538
covid_pulse_2020q2,-8.53622062781859,1.1180006599729497,-7.635255446114965,1.5094811255290676e-11
covid_pulse_2020q3,-2.7527514066882417,1.3174963763325582,-2.0893806283937746,0.0392638181780921
