,count,mean,std,min,25%,50%,75%,max
gdp_growth,105.0,2.9768919591297824,1.7344585235244168,-6.15676736258669,2.2206400709633645,2.8077504956004695,3.8326849529677354,10.57253357331016
inflation,105.0,2.662583082233908,1.5881060231372444,-0.44842053318925323,1.6885277545430233,2.448454412891654,3.121636242779924,7.8318707402679655
interest_rate,105.0,3.8173333333333335,1.9706701645469151,0.0133333333,2.1833333333,4.3433333333,5.13,7.8
export_growth,105.0,3.480437995940282,4.678604375414077,-15.141861271608349,1.5950559792838659,4.125424292055357,5.934703223056936,15.138178502041955
