,coefficient,std_error,t_stat,p_value
Intercept,1.5750541526089563,0.3617350297175165,4.354165406206129,3.233568359241261e-05
gdp_growth_l1,0.6299052953675113,0.08524710110981698,7.389169686322295,4.5596407347435655e-11
export_growth_l1,-0.04198237837018323,0.030024036108421567,-1.398292295498786,0.1651187680746519
delta_interest_rate_l1,0.21951846927945193,0.33814822500751107,0.6491782391422457,0.5177114127560495
inflation_l1,-0.1299129100695275,0.09005547888707957,-1.4425875213258827,0.15226162749925778
