,coefficient,std_error,t_stat,p_value
Intercept,1.2665259104966224,0.37996193867698724,3.3332967899537955,0.0012042920437668754
gdp_growth_l1,0.623146310357234,0.08357287530404134,7.456322498061766,3.2881478894360875e-11
export_growth_l1,-0.05288695422710705,0.030604384912337062,-1.7280842068414701,0.08705989403428652
interest_rate_l1,0.09741524411447373,0.07438438667305144,1.3096195111838718,0.19332542578054335
inflation_l1,-0.13359635533681052,0.08748969768140798,-1.5269952791847452,0.12991902635322494
