Model,MAE,MAFE,MSFE,RMSE,RMSFE
Combined (equal-weight average),1.1478043164184588,1.1478043164184588,4.726855345920183,2.1741332401488607,2.1741332401488607
ADL(1),1.117803813221458,1.117803813221458,4.7367313037951755,2.176403295300569,2.176403295300569
AR(2),1.180264224821092,1.180264224821092,4.861462356400303,2.2048724127260297,2.2048724127260297
VAR(2),1.2074109973760025,1.2074109973760025,4.994192002678432,2.2347688924536318,2.2347688924536318
ADL(2),1.1767817882711649,1.1767817882711649,5.171136093990841,2.2740132132401607,2.2740132132401607
