,coefficient,std_error,t_stat,p_value
Intercept,1.2602653663022283,0.3911383526258182,3.2220449818886947,0.0017232270832826444
gdp_growth_l1,0.6194217862302996,0.09793630282741542,6.324741371152763,7.375152134812508e-09
gdp_growth_l2,0.007357945401047896,0.09950395378497685,0.07394626164250773,0.9412023504649493
export_growth_l1,-0.05328008844719587,0.031213811577798574,-1.7069395166430863,0.09096802532668584
interest_rate_l1,0.09667180466930075,0.07543007397574437,1.2816082442181744,0.20297364070650822
inflation_l1,-0.13378342797295667,0.08796441294520756,-1.5208812688409512,0.13147722138991144
