,coefficient,std_error,t_stat,p_value
Intercept,1.3224944695588703,0.38320706218346795,3.4511223828273287,0.0008192509217052984
gdp_growth_l1,0.5829379646037209,0.08123068972691687,7.176326663770241,1.2783814524166046e-10
tot_growth_l1,-4.7507880897520426e-05,6.417845898530554e-05,-0.7402465196055572,0.4608848868778422
interest_rate_l1,0.07130498164860984,0.0733810510405548,0.971708372086445,0.3335401971843064
inflation_l1,-0.1423881742641428,0.0884182922458968,-1.6103927213178058,0.11046436693492508
