Model,AIC,BIC,Adj. R-squared
Model A (contemporaneous rate and inflation),370.8331606409165,384.1029623917041,0.3648989503377539
Preferred ADL(1),369.6767965636975,382.94659831448513,0.3718549391889433
ADL(2) candidate,371.6709972772945,387.5947593782396,0.3655450823218188
